Exp,HMI,VP,TC01_Duration,TC01_Surt_AOI_Attention_Ratio,TC01_street_AOI_Attention_Ratio,TC01_ic_AOI_Attention_Ratio,TC01_wheel_AOI_Attention_Ratio,TC01_EyesOnAOIs,TC01_valid,TC01_Comment,TC04_Duration,TC04_Surt_AOI_Attention_Ratio,TC04_street_AOI_Attention_Ratio,TC04_ic_AOI_Attention_Ratio,TC04_wheel_AOI_Attention_Ratio,TC04_EyesOnAOIs,TC04_valid,TC04_Comment,TC07_Duration,TC07_Surt_AOI_Attention_Ratio,TC07_street_AOI_Attention_Ratio,TC07_ic_AOI_Attention_Ratio,TC07_wheel_AOI_Attention_Ratio,TC07_EyesOnAOIs,TC07_valid,TC07_Comment,TC01_Lvl_start,TC01_Lvl_end,TC01_prop_L0,TC01_prop_L2,TC01_prop_L3,TC04_Lvl_start,TC04_Lvl_end,TC04_prop_L0,TC04_prop_L2,TC04_prop_L3,TC07_Lvl_start,TC07_Lvl_end,TC07_prop_L0,TC07_prop_L2,TC07_prop_L3
2,HC,37,66.713,0,0,29.769,68.335,0.98,1,,74.837,0,26.686,22.349,46.874,0.96,1,,74.521,1.283,2.874,26.947,65.619,0.97,1,,0,0,1,0,0,2,3,0.015898251,0.039745628,0.944356121,2,2,0,1,0
2,HC,38,68.882,0.759,0,24.69,70.059,0.96,1,,74.453,0.806,3.225,42.228,50.003,0.96,0,,74.384,0,0,14.172,82.701,0.97,1,,0,0,1,0,0,2,2,0,1,0,2,2,0,1,0
2,LC,53,69.545,0,3.606,52.595,40.309,0.97,1,,66.389,0,3.662,58.895,35.556,0.98,0,,74.325,0,1.687,58.114,27.797,0.88,1,,0,0,1,0,0,2,2,0,1,0,2,2,0,1,0
2,LC,54,74.413,0,0,27.186,71.973,0.99,1,,74.246,0,71.534,6.457,20.903,0.99,1,,73.967,0,1.762,16.576,80.824,0.99,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,LC,56,63.69,0,0.785,27.706,69.157,0.98,1,,74.472,0,99.569,0,0,1.00,1,,74.561,0,0,35.749,59.542,0.95,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,LC,57,74.683,0,0,61.48,37.746,0.99,1,,74.192,0,53.614,31.104,9.241,0.94,1,,74.523,0,0,51.913,45.801,0.98,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,LC,58,64.999,0,0,16.836,79.45,0.96,1,,74.531,0,91.793,2.547,4.149,0.98,1,,74.545,0,0,40.459,56.138,0.97,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,LC,59,62.556,0.99,27.038,19.05,51.715,0.99,1,,74.045,0,63.524,27.933,6.034,0.97,0,,74.128,0.444,0,39.476,59.486,0.99,1,,0,0,1,0,0,2,2,0,1,0,2,2,0,1,0
2,LC,60,70.148,0,0,33.799,64.508,0.98,1,,74.206,0,57.617,28.071,7.855,0.94,1,,74.03,0.043,1.772,46.337,39.114,0.87,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,LC,61,65.722,0,0,23.221,75.661,0.99,1,,85.151,1.114,40.823,31.511,22.043,0.95,0,,73.924,0,0,27.565,70.765,0.98,1,,0,0,1,0,0,0,2,0.300957592,0.699042408,0,2,2,0,1,0
