"variable","Exp","HMI","n","mean","sd","median","min","max","frequencies"
"BothAllow_Observed_score",3,"LC",21,20.48,4.21,22,9,24,NA
"TransProblems_score",1,"HC",26,0.42,0.58,0,0,2,NA
"TransProblems_score",1,"LC",26,0.54,0.86,0,0,3,NA
"TransProblems_score",2,"HC",33,0.97,0.98,1,0,3,NA
"TransProblems_score",2,"LC",28,0.64,0.95,0,0,3,NA
"TransProblems_score",3,"HC",21,0.62,0.67,1,0,2,NA
"TransProblems_score",3,"LC",21,0.29,0.56,0,0,2,NA
"AvailImplem_Rep_score",1,"HC",26,10.19,1.3,10,7,12,NA
"AvailImplem_Rep_score",1,"LC",26,10.19,1.3,10.5,7,12,NA
"AvailImplem_Rep_score",2,"HC",33,9.82,1.55,10,7,12,NA
"AvailImplem_Rep_score",2,"LC",28,8.96,2.05,9,6,12,NA
"AvailImplem_Rep_score",3,"HC",21,10.24,1.34,10,7,12,NA
"AvailImplem_Rep_score",3,"LC",21,8.57,2.04,9,6,12,NA
"AvailReasonCorrect_score",1,"HC",26,1.88,1.18,2,0,3,NA
"AvailReasonCorrect_score",1,"LC",26,2.27,0.83,2,0,3,NA
"AvailReasonCorrect_score",2,"HC",33,1.88,1.17,2,0,3,NA
"AvailReasonCorrect_score",2,"LC",28,1.68,1.22,1.5,0,3,NA
"AvailReasonCorrect_score",3,"HC",21,1.24,0.62,1,0,2,NA
"AvailReasonCorrect_score",3,"LC",21,0.71,1.01,0,0,3,NA
"AnstrengendWenden",1,NA,52,2.04,1.44,1,1,5,"1: 30, 2: 7, 4: 7, 5: 5"
"AnstrengendWenden",2,NA,61,1.15,0.48,1,1,4,"1: 54, 2: 6, 4: 1, 3: 0"
"AnstrengendWenden",3,NA,42,1.33,0.72,1,1,4,"1: 33, 2: 5, 3: 3, 4: 1"
"Uebel",1,NA,52,2.06,1.24,2,1,5,"1: 25, 2: 10, 3: 8, 4: 7"
"Uebel",2,NA,61,1.02,0.13,1,1,2,"1: 60, 2: 1, 3: 0, 4: 0"
"Uebel",3,NA,42,1.07,0.34,1,1,3,"1: 40, 2: 1, 3: 1, 4: 0"
