"variable","Exp","HMI","n","n_notNA","mean","sd","median","min","max","frequencies"
"TC12_ic_n_glances_after_start",2,"LC",28,25,1.68,1.25,2,0,4,"2: 9, 0: 6, 1: 4, 3: 4"
"TC12_ic_n_glances_after_start",3,"HC",23,20,1.3,0.57,1,1,3,"1: 15, 2: 4, 3: 1, 0: 0"
"TC12_ic_n_glances_after_start",3,"LC",19,16,0.94,0.93,1,0,3,"0: 6, 1: 6, 2: 3, 3: 1"
"TC12_street_glance_at_start",1,"HC",26,22,0.05,0.21,0,0,1,"0: 21, 1: 1"
"TC12_street_glance_at_start",1,"LC",26,25,0.04,0.2,0,0,1,"0: 24, 1: 1"
"TC12_street_glance_at_start",2,"HC",33,32,0.12,0.34,0,0,1,"0: 28, 1: 4"
"TC12_street_glance_at_start",2,"LC",28,25,0,0,0,0,0,"0: 25, 1: 0"
"TC12_street_glance_at_start",3,"HC",23,20,0.15,0.37,0,0,1,"0: 17, 1: 3"
"TC12_street_glance_at_start",3,"LC",19,16,0.31,0.48,0,0,1,"0: 11, 1: 5"
"TC12_street_n_glances_after_start",1,"HC",26,22,1,0.82,1,0,3,"1: 11, 0: 6, 2: 4, 3: 1"
"TC12_street_n_glances_after_start",1,"LC",26,25,0.8,0.96,1,0,3,"0: 11, 1: 11, 3: 3, 2: 0"
"TC12_street_n_glances_after_start",2,"HC",33,32,0.91,0.69,1,0,2,"1: 17, 0: 9, 2: 6, 3: 0"
"TC12_street_n_glances_after_start",2,"LC",28,25,0.92,0.76,1,0,2,"1: 11, 0: 8, 2: 6, 3: 0"
"TC12_street_n_glances_after_start",3,"HC",23,20,0.9,0.72,1,0,2,"1: 10, 0: 6, 2: 4, 3: 0"
"TC12_street_n_glances_after_start",3,"LC",19,16,0.5,0.73,0,0,2,"0: 10, 1: 4, 2: 2, 3: 0"
"TC12_surt_glance_at_start",1,"HC",26,22,0.91,0.29,1,0,1,"1: 20, 0: 2"
"TC12_surt_glance_at_start",1,"LC",26,25,0.8,0.41,1,0,1,"1: 20, 0: 5"
"TC12_surt_glance_at_start",2,"HC",33,32,0.84,0.37,1,0,1,"1: 27, 0: 5"
"TC12_surt_glance_at_start",2,"LC",28,25,0.68,0.48,1,0,1,"1: 17, 0: 8"
"TC12_surt_glance_at_start",3,"HC",23,20,0.75,0.44,1,0,1,"1: 15, 0: 5"
"TC12_surt_glance_at_start",3,"LC",19,16,0.62,0.5,1,0,1,"1: 10, 0: 6"
"TC12_surt_n_glances_after_start",1,"HC",26,22,1,0.44,1,0,2,"1: 18, 0: 2, 2: 2, 3: 0"
"TC12_surt_n_glances_after_start",1,"LC",26,25,1.04,1.14,1,0,6,"1: 18, 0: 5, 2: 1, 6: 1"
"TC12_surt_n_glances_after_start",2,"HC",33,32,0.91,0.39,1,0,2,"1: 27, 0: 4, 2: 1, 3: 0"
"TC12_surt_n_glances_after_start",2,"LC",28,25,1,0.76,1,0,3,"1: 14, 0: 6, 2: 4, 3: 1"
"TC12_surt_n_glances_after_start",3,"HC",23,20,0.8,0.41,1,0,1,"1: 16, 0: 4, 2: 0, 3: 0"
"TC12_surt_n_glances_after_start",3,"LC",19,16,0.81,0.54,1,0,2,"1: 11, 0: 4, 2: 1, 3: 0"
"TC12_wheel_glance_at_start",1,"HC",26,22,0,0,0,0,0,"0: 22"
