"variable","Exp","HMI","n","n_notNA","mean","sd","median","min","max","frequencies"
"TC12_Action_3",2,"LC",28,1,3,NA,3,3,3,"3: 1, 1: 0"
"TC12_Action_3",3,"HC",21,0,NA,NA,NA,Inf,-Inf,"1: 0, 3: 0"
"TC12_Action_3",3,"LC",21,0,NA,NA,NA,Inf,-Inf,"1: 0, 3: 0"
"TC12_Action_4",1,"HC",26,0,NA,NA,NA,Inf,-Inf,": "
"TC12_Action_4",1,"LC",26,0,NA,NA,NA,Inf,-Inf,": "
"TC12_Action_4",2,"HC",33,0,NA,NA,NA,Inf,-Inf,": "
"TC12_Action_4",2,"LC",28,0,NA,NA,NA,Inf,-Inf,": "
"TC12_Action_4",3,"HC",21,0,NA,NA,NA,Inf,-Inf,": "
"TC12_Action_4",3,"LC",21,0,NA,NA,NA,Inf,-Inf,": "
"TC10_TimeToFirstAction",1,"HC",26,26,13.23,6.39,11.53,4.42,25.5,NA
"TC10_TimeToFirstAction",1,"LC",26,26,15.49,8.42,14.54,3.03,26.9,NA
"TC10_TimeToFirstAction",2,"HC",33,32,10.97,5.46,10.1,3.5,25.1,NA
"TC10_TimeToFirstAction",2,"LC",28,24,19.42,11.1,21.35,4.6,42.9,NA
"TC10_TimeToFirstAction",3,"HC",21,21,13.33,7.98,9.8,4.7,27.8,NA
"TC10_TimeToFirstAction",3,"LC",21,15,22.2,7.38,24.8,6.4,35.1,NA
"TC12_TimeToFirstAction",1,"HC",26,26,4.76,2.35,3.95,1.35,9.08,NA
"TC12_TimeToFirstAction",1,"LC",26,26,5.97,2.93,6.06,2.47,12.1,NA
"TC12_TimeToFirstAction",2,"HC",33,33,3.31,1.96,2.8,1.1,10,NA
"TC12_TimeToFirstAction",2,"LC",28,23,8.78,5.11,7.3,1.8,19.1,NA
"TC12_TimeToFirstAction",3,"HC",21,20,4.44,4.07,2.75,1.4,18.1,NA
"TC12_TimeToFirstAction",3,"LC",21,16,8.32,3.36,7.55,2.6,14.1,NA
"TC10_TimeToL0",1,"HC",26,26,14.55,5.65,14.9,5.73,25.57,NA
"TC10_TimeToL0",1,"LC",26,26,15.94,8.27,14.6,3.08,26.95,NA
"TC10_TimeToL0",2,"HC",33,32,12.17,5.56,11.45,3.7,25.3,NA
