"variable","Exp","HMI","n","n_notNA","mean","sd","median","min","max","frequencies"
"TC07_prop_L0",2,"LC",25,20,0.01,0.03,0,0,0.12,NA
"TC07_prop_L0",3,"HC",20,20,0,0,0,0,0,NA
"TC07_prop_L0",3,"LC",21,18,0.01,0.06,0,0,0.27,NA
"TC07_prop_L2",1,"HC",22,22,1,0,1,1,1,NA
"TC07_prop_L2",1,"LC",25,25,1,0,1,1,1,NA
"TC07_prop_L2",2,"HC",32,32,1,0.01,1,0.97,1,NA
"TC07_prop_L2",2,"LC",25,20,0.99,0.03,1,0.88,1,NA
"TC07_prop_L2",3,"HC",20,20,1,0,1,1,1,NA
"TC07_prop_L2",3,"LC",21,18,0.99,0.06,1,0.73,1,NA
"TC07_prop_L3",1,"HC",22,22,0,0,0,0,0,NA
"TC07_prop_L3",1,"LC",25,25,0,0,0,0,0,NA
"TC07_prop_L3",2,"HC",32,32,0,0,0,0,0,NA
"TC07_prop_L3",2,"LC",25,20,0,0,0,0,0,NA
"TC07_prop_L3",3,"HC",20,20,0,0,0,0,0,NA
"TC07_prop_L3",3,"LC",21,18,0,0,0,0,0,NA
